,ID,Comment
106,              TRY 808            ,Boki is honestly the top or the best Mukbangers out their keep up the good work
107,              mvaiex            ,please do more convenience store food mukbangs!!! i love them sm<3
108,              Onkaa Tau            ,the things i would do for that food😍😍😍❤
109,              me kim            ,boki is just too cute i love her ❤️😘
110,              먹방하는 똥표            ,02:46 새우 두 마리 🦐🦐
111,              Ana Luiza Borges            ,*boki notification: a me: omgggg <3
112,              chaeng. laurent            ,It really is hard to taste those along with my peanut chocolate bar at 2am
113,              Akshu Rane            ,Boki is so pretty💜🥺
114,              zryan Mhamad            ,سارانغهي Love you❤❤❤❤
115,              ちゃんま            ,この時間に見たの間違いだった🥺お腹すいた🥺🥺🥺am3:00
116,              MJ Saga            ,My favorite korean vloger mukbang❤️❤️❤️😍
117,              HHT HahoeTal MUKBANG ASMR            ,Phone vibrated...Your new video notiflcation...Clicked immediately without thinking...🇰🇷💜
118,              Merlinemonroe Pacquing            ,Just finished dinner yet my stomach seems empty 😤😤🤣
119,              peachylalalalisa            ,"I'm early again, dang that crisp sounds so good!!"
120,              YYY            ,美味しそうだけど胃もたれやばそう。。😭😋
121,              Kaori Miyazono            ,Bts new single will be released 21 may 1pm kst ( butter )
122,              Jærëd            ,I so freakin’ have a thing for fried food 😭💖
123,              frzd            ,boki can you please film a video of you making/preparing/getting the food like a vlog? I’d love to watch it 👉👈
124,              Jeanny Mary            ,i really love to see her eating.
125,              amelya deniz            ,"💜아주 아름다운 여동생, 당신의 손에 건강💜"
126,              海月            ,ボキちゃん今夜も最高のモッパンありがと✨✨✨😌❣️
127,              Tapati Saha            ,"Woaahh, I came within 28 sec.🌻🌞🌻🌻🌞🌞"
128,              hana jj            ,Thank you for eating japanese food🥰日本の食べ物食べてくれて嬉しい‼︎
129,              Bts love            ,LOVE IT😍😍😍
130,              Shariq Ahmed            ,Nobody:Literally nobody:Me: Watching this video while fasting 🥺😩
131,              Annisa Islam            ,3:13 ‘Bokihole’ 😂😂😂
132,              Niki_Ereri            ,"""Annyeong haseyo, Boki-yo""Awwwwww 정말 놀랐습니다. 건강을 유지하십시오. 인도네시아 팬들의 인사"
